PPN,genre-aad,originInfo-publication0_dateIssued,SprachcodesWinIBW
PPN1690242760,{'Gelegenheitsschrift:Tod'},1721,"ger, lat"
PPN783872402,{'Leichenpredigt'},1597,ger
PPN663922747,,1711,ger
PPN1002549477,,1919,ger
PPN867447052,{'Leichenpredigt'},1648,ger
PPN663930138,,1712,ger
PPN654938814,"{'Gelegenheitsschrift:Tod', 'Epikedeion'}",1718,ger
PPN87017116X,{'Verordnung'},1744,ger
PPN824419030,,1559,ger
PPN687687276,{'Leichenpredigt'},1695,ger
PPN731514904,{'Epik'},1772,ger
PPN1011572028,{'Flugschrift'},1630,ger
PPN689704313,,1779,ger
PPN750756462,"{'Gelegenheitsschrift:Namenstag', 'Gelegenheitsschrift:Geburtstag', 'Lyrik'}",1681,ger
PPN1757637567,,1967,ger
PPN1677705248,"{'Flugschrift', 'Liedersammlung'}",1800,ger
PPN817680187,,1818,ger
PPN775151831,"{'Flugschrift', 'Lied'}",1656,ger
PPN1765235847,{'Leichenpredigt'},1749,ger
PPN1779955944,,1902,ger
PPN66338754X,{'Leichenpredigt'},1692,ger
PPN755439082,{'Flugschrift'},1546,"ger, lat"
PPN897655745,{'Biographie'},1906,ger
PPN820793221,{'Medizin'},1599,ger
PPN1678705276,"{'Gelegenheitsschrift:Tod', 'Epikedeion'}",1750,ger
PPN775840580,{'Briefsammlung'},1800,ger
PPN1688814949,,1886,ger
PPN674622782,"{'Lyrik', 'Predigt', 'Gelegenheitsschrift'}",1740,ger
PPN850623189,"{'Gelegenheitsschrift:Tod', 'Epikedeion'}",1728,ger
PPN884888959,"{'Verordnung', 'Einblattdruck'}",1792,ger
PPN1018509887,"{'Meßkatalog', 'Buchhandelskatalog'}",1633,"ger, lat"
PPN1018381708,,1878,ger
PPN635374412,,1649,ger
PPN1757230769,,1824,ger
PPN788485512,{'Reisebericht'},1793,"ger, fre"
PPN716580314,{'Dissertation:jur.'},1744,"lat, ger"
PPN1018865071,{'Brief'},1631,ger
PPN1011800233,{'Medizin'},1788,"ger, swe, fre"
PPN770205879,{'Flugschrift'},1579,ger
PPN815390319,{'Streitschrift:theol.'},1534,ger
PPN796899045,"{'Flugschrift', 'Liedersammlung'}",1800,ger
PPN779362306,{'Leichenpredigt'},1588,ger
PPN655203524,,1605,ger
PPN1006060448,{'Amtsdruckschrift'},1690,ger
PPN1047777657,"{'Amtsdruckschrift', 'Einblattdruck'}",1753,ger
PPN832780901,"{'Flugschrift', 'Kolportageliteratur'}",1802,ger
PPN68855301X,,1788,ger
PPN1067864571,"{'Verordnung', 'Einblattdruck'}",1760,ger
PPN861248201,{'Zeitschrift'},1698,ger
PPN778287742,,1589,ger
PPN686095626,{'Leichenpredigt'},1627,ger
PPN1668304449,{'Subskribentenliste'},1797,ger
PPN663981956,{'Leichenpredigt'},1680,ger
PPN842183825,{'Panegyrikos'},1716,ger
PPN647517051,,1817,ger
PPN715709003,,1696,ger
PPN1676040692,"{'Verordnung', 'Einblattdruck'}",1781,ger
PPN841160287,"{'Gelegenheitsschrift:Tod', 'Epikedeion'}",1712,ger
PPN1734475528,{'Leichenpredigt'},1720,ger
PPN1671873777,,1719,ger
PPN768555809,"{'Gelegenheitsschrift:Tod', 'Liedersammlung'}",1553,ger
PPN1006238964,"{'Verordnung', 'Geldwesen'}",1699,ger
PPN679579214,{'Streitschrift:theol.'},1751,ger
PPN653944497,{'Leichenpredigt'},1669,ger
PPN104073717X,{'Topographie'},1708,ger
PPN718138821,,1915,ger
PPN749892196,"{'Gelegenheitsschrift:Hochzeit', 'Lyrik'}",1669,ger
PPN1042031665,{'Meßkatalog'},1670,"lat, ger"
PPN1023248409,"{'Lyrik', 'Gelegenheitsschrift:Promotion'}",1697,ger
PPN1018616616,{'Amtsdruckschrift'},1713,ger
PPN688366236,{'Brief'},1772,ger
PPN770870953,{'Gesangbuch'},1667,ger
PPN1010438816,{'Erbauungsliteratur'},1784,ger
PPN1671397975,{'Flugschrift'},1740,ger
PPN636639754,,1652,ger
PPN885686845,"{'Verordnung', 'Einblattdruck'}",1792,ger
PPN638281547,{'Gelegenheitsschrift:Promotion'},1702,ger
PPN893156825,,1560,ger
PPN102671236X,,1795,ger
PPN84238913X,,1855,ger
PPN846050552,,1564,"ger, grc"
PPN1666822353,,1904,ger
PPN1049327918,,1792,ger
PPN102245403X,"{'Schulbuch', 'Bücheranzeige'}",1713,ger
PPN1670153983,{'Gelegenheitsschrift:Tod'},1699,"lat, ger"
PPN832748102,"{'Einblattdruck', 'Lied'}",1525,ger
PPN752213482,{'Schauspiel'},1796,ger
PPN1030404674,{'Leichenpredigt'},1704,ger
PPN715552260,"{'Lyrik', 'Gelegenheitsschrift:Tod'}",1661,ger
PPN882361902,{'Leichenpredigt'},1694,ger
PPN687960274,,1836,ger
PPN1687416788,"{'Lyrik', 'Gelegenheitsschrift:Tod'}",1732,ger
PPN889776660,"{'Meßkatalog', 'Buchhandelskatalog'}",1572,"lat, ger"
PPN622964356,{'Streitschrift:theol.'},1720,ger
PPN1031382771,{'Gelegenheitsschrift:Tod'},1709,ger
PPN721960715,{'Formularsammlung'},1791,ger
PPN795553803,{'Almanach'},1576,ger
PPN68859672X,{'Libretto'},1744,"ger, ita"
PPN731842553,{'Lyrik'},1783,ger
PPN617461147,,1767,ger
PPN817819061,,1566,ger
PPN748776397,{'Drama'},1614,ger
PPN826774725,{'Streitschrift'},1779,ger
PPN1788362977,{'Auktionskatalog'},1830,ger
PPN83738527X,{'Epikedeion'},1728,ger
PPN1771612568,,1926,ger
PPN664290213,,1864,ger
PPN863022715,"{'Lyrik', 'Gelegenheitsschrift:Tod'}",1700,ger
PPN656852305,{'Leichenpredigt'},1688,ger
PPN630212430,,1708,ger
PPN1690835559,"{'Lyrik', 'Epikedeion'}",1734,ger
PPN785969527,"{'Flugschrift', 'Liedersammlung'}",1786,ger
PPN1682135179,{'Verordnung'},1718,ger
PPN1667845128,,1801,"ger, grc"
PPN837452139,"{'Gelegenheitsschrift:Tod', 'Hochschulschrift'}",1699,ger
PPN812637925,{'Gelegenheitsschrift:Hochzeit'},1683,ger
PPN837931940,{'Epikedeion'},1715,ger
PPN723415609,,1538,ger
PPN839012470,"{'Gelegenheitsschrift:Hochzeit', 'Lyrik'}",1650,ger
PPN737654112,"{'Gelegenheitsschrift:Tod', 'Epikedeion'}",1726,ger
PPN889276978,,1772,ger
PPN836039114,{'Lyrik'},1535,ger
PPN630687137,,1613,ger
PPN690256469,{'Leichenpredigt'},1693,ger
PPN104201793X,"{'Meßkatalog', 'Buchhandelskatalog'}",1683,"lat, ger"
PPN682759279,{'Libretto'},1790,"lat, ger"
PPN730095290,"{'Lyrik', 'Gelegenheitsschrift:Tod'}",1745,ger
PPN799476714,{'Amtsdruckschrift'},1752,ger
PPN66771524X,{'Leichenpredigt'},1675,ger
PPN834742950,"{'Lyrik', 'Gelegenheitsschrift:Tod', 'Einblattdruck'}",1694,ger
PPN893516805,{'Psalter'},1530,ger
PPN72608378X,"{'Lyrik', 'Gelegenheitsschrift:Amtsantritt'}",1751,ger
PPN796650160,,1528,ger
PPN877405433,"{'Verordnung', 'Amtsdruckschrift'}",1675,ger
PPN655974970,{'Leichenpredigt'},1634,ger
PPN751123315,{'Komödie'},1799,ger
PPN835303985,"{'Lyrik', 'Gelegenheitsschrift:Promotion'}",1636,ger
PPN1777966760,,1915,ger
PPN79915220X,,1800,ger
PPN776484656,"{'Flugschrift', 'Lied'}",1675,ger
PPN635951932,,1655,ger
PPN839451237,{'Gelegenheitsschrift:Tod'},1728,ger
PPN863957307,{'Traktat'},1770,ger
PPN716602512,"{'Gelegenheitsschrift:Tod', 'Rede'}",1673,ger
PPN1745620095,{'Epikedeion'},1709,ger
PPN838997988,"{'Gesellschaftsschrift', 'Panegyrikos'}",1789,ger
PPN766373509,{'Roman'},1761,ger
PPN893894494,,1840,ger
PPN66475418X,{'Leichenpredigt'},1699,ger
PPN839492626,,1900,ger
PPN856397474,{'Satire'},1694,ger
PPN76820755X,{'Flugschrift'},1757,ger
PPN833479792,{'Erbauungsliteratur'},1725,ger
PPN644587067,"{'Lyrik', 'Gelegenheitsschrift:Amtsantritt'}",1661,ger
PPN100532333X,{'Verordnung'},1649,ger
PPN798641827,"{'Topographie', 'Schulbuch'}",1785,ger
PPN751187011,"{'Gelegenheitsschrift:Hochzeit', 'Lyrik'}",1679,ger
PPN840116357,"{'Lyrik', 'Gelegenheitsschrift:Tod'}",1650,ger
PPN1041223706,{'Meßkatalog'},1611,"lat, ger"
PPN1015326110,"{'Lyrik', 'Gelegenheitsschrift:Tod'}",1683,ger
PPN1688971130,"{'Gelegenheitsschrift:Hochzeit', 'Lyrik'}",1720,ger
PPN1025218620,"{'Grammatik', 'Schulbuch', 'Schulprogramm'}",1665,"ger, lat"
